Date,volume
2017-08-15,341988374.47941643
2017-08-16,351792037.6683817
2017-08-17,373082615.7580361
2017-08-18,322665040.3965485
2017-08-19,177654410.0991067
2017-08-20,123200186.5123889
2017-08-21,504190986.2284156
2017-08-22,257486335.94864237
2017-08-23,218844386.90985695
2017-08-24,246665524.6292582
2017-08-25,139377309.63647735
2017-08-26,112660557.88651253
2017-08-27,209634566.49566853
2017-08-28,317010671.8548901
2017-08-29,202687613.63990694
2017-08-30,220351499.90188968
2017-08-31,338585244.3527807
2017-09-01,440710136.09662324
2017-09-02,308302328.0212997
2017-09-03,513527217.62500376
2017-09-04,467133132.4971322
2017-09-05,384503428.8177615
2017-09-06,222544560.6030448
2017-09-07,503768705.75522035
2017-09-08,117381164.67126147
2017-09-09,331793077.94070375
2017-09-10,250115590.4300298
2017-09-11,311636501.2654974
2017-09-12,541722553.5428387
2017-09-13,736178849.3809645
2017-09-14,1267434715.9679632
2017-09-15,474370445.6741123
2017-09-16,249840870.73816603
2017-09-17,425335356.12640965
2017-09-18,349157038.32297957
2017-09-19,229919029.84766248
2017-09-20,385065464.59772885
2017-09-21,317303697.7252074
2017-09-22,179361985.99126774
2017-09-23,138592392.42948055
2017-09-24,284073950.9391744
2017-09-25,175299977.81306127
2017-09-26,357673848.68951017
2017-09-27,275531143.16024274
2017-09-28,289284083.40954936
2017-09-29,222088521.6719822
2017-09-30,171779832.26780057
2017-10-01,250398347.64562908
2017-10-02,256471830.90792736
2017-10-03,204003764.2335958
2017-10-04,87904264.41542768
2017-10-05,205812106.35166645
2017-10-06,89524651.87038891
2017-10-07,282133882.84246814
2017-10-08,397258570.199554
2017-10-09,347920434.56
2017-10-10,296445764.4234614
2017-10-11,680358364.3266706
2017-10-12,953598649.4834647
2017-10-13,328701504.6636471
2017-10-14,490476846.89475596
2017-10-15,322723336.5566526
2017-10-16,322503478.1204792
2017-10-17,627801313.9179745
2017-10-18,376178013.95121515
2017-10-19,583507046.8574011
2017-10-20,555571195.7118287
2017-10-21,469066735.29201514
2017-10-22,633277065.0849246
2017-10-23,628021830.3437077
2017-10-24,446193087.80574757
2017-10-25,450583865.77724534
2017-10-26,402366481.7965357
2017-10-27,278764450.6401858
2017-10-28,572711007.5335968
2017-10-29,144588378.86395484
2017-10-30,454449998.2659176
2017-10-31,630017228.4715976
2017-11-01,1143999865.200707
2017-11-02,374814688.9945792
2017-11-03,563573963.1487608
2017-11-04,568573468.1529733
2017-11-05,832822399.364463
2017-11-06,533993339.4799873
2017-11-07,1261823617.3145914
2017-11-08,528018381.56556165
2017-11-09,1128392930.682508
2017-11-10,805734191.0403882
2017-11-11,1601736904.2787657
2017-11-12,1259093767.510772
2017-11-13,597502689.3669903
2017-11-14,925948609.9534755
2017-11-15,1167106378.1773658
2017-11-16,1009820547.5464566
2017-11-17,541082170.8748473
2017-11-18,541743546.8099738
2017-11-19,546752953.4571438
2017-11-20,1004515766.6482553
2017-11-21,494283581.3226505
2017-11-22,425395614.83598435
2017-11-23,644675714.7939754
2017-11-24,677327101.0766498
2017-11-25,183816238.4787574
2017-11-26,1100089826.5007603
2017-11-27,824886242.4418215
2017-11-28,3006736495.2808194
2017-11-29,2130663923.372405
2017-11-30,1589331512.9417427
2017-12-01,965994254.3562113
2017-12-02,592011274.2160677
2017-12-03,1283672891.399018
2017-12-04,999891969.54149
2017-12-05,1982715220.4509902
2017-12-06,4548758961.588786
